EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),NavigationMode,APFEncounter,APFSide,APFDCPA(m),APFTCPA(s),APFForceX,APFForceY,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),WebotsEnvironment,SwitchCombination,EKFPredictionEnabled,ClusterSizeAPFEnabled
1784332752.3742607,71.59312438964844,-200.0,108.80583349956095,0.2,1.0245225858494122,7.122686062186098,-0.3383450951569844,-0.052660456547218605,1.4813824000102287,1784332752.379777,None,None,None, None, 1784332752.3602357,1.0575146442199748,apf_waypoint,none,0.0,nan,nan,21.191097526900833,-9.326432253331687,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332752.4769416,71.695805311203,-200.0,102.41155133905542,0.2,1.0171152484357053,7.1533365243436435,-0.28817122253522154,-0.049474798986818544,1.477243202353581,1784332752.379777,None,None,None, None, 1784332752.3602357,1.0575146442199748,apf_waypoint,none,0.0,nan,nan,20.858775796286736,-9.437776623733793,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332752.5766487,71.79551243782043,-200.0,92.61284218488034,0.2,1.0157275673716575,7.1839960490033405,-0.23855001178971236,-0.014026407661223938,1.4755240920487582,1784332752.5951643,None,None,None, None, 1784332752.5951643,0.9587224836326057,apf_waypoint,none,0.0,nan,nan,20.474750610706405,-9.675121678278542,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332752.6712348,71.89009857177734,-200.0,80.22803063655931,0.2,1.0162233130586307,7.214131153278289,-0.18960686526195403,-0.019951848699531944,1.4736720629718767,1784332752.7046645,None,None,None, None, 1784332752.7036657,1.0973681246214257,apf_waypoint,none,0.0,nan,nan,20.07696503451581,-9.947978337139944,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332752.7720163,71.9908800125122,-200.0,68.15431588929316,0.2,1.0095385842578732,7.243579989314717,-0.1415473917955845,-0.09581812559841227,1.4631799619533377,1784332752.7046645,None,None,None, None, 1784332752.7924652,0.9094834989458496,apf_waypoint,none,0.0,nan,nan,19.757694837061084,-10.074324069897749,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332752.8720472,72.09091091156006,-200.0,129.11204560274385,0.2,1.0106960299048533,7.060961598606899,-0.4473181898548758,-0.015165884176519163,1.461119767701052,1784332752.8405085,7.058163262636933,-0.45197526612269756,1.011364164828512, 1784332752.835506, 1784332752.8600285,1.0154628708161326,apf_waypoint,none,0.0,nan,nan,22.182348101558258,-8.443126757486208,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332752.9717247,72.19058847427368,-200.0,129.0453510349974,0.2,1.0010693530044799,7.077082391990844,-0.421409458438204,-0.1470681813053771,1.4470468817979094,1784332752.936198,None,None,None, None, 1784332752.9562125,1.0749652333531636,apf_waypoint,none,0.0,nan,nan,22.059384029807205,-8.370793827905615,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332753.0718513,72.29071497917175,-200.0,126.07462933912083,0.2,0.9948088806659972,7.103002227336276,-0.38108130553256103,-0.047148298145608517,1.4418542115248238,1784332753.0463328,None,None,None, None, 1784332753.0603397,0.9869539474484431,apf_waypoint,none,0.0,nan,nan,21.796072882080267,-8.454827240687857,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332753.1715822,72.3904459476471,-200.0,121.26375008170729,0.2,0.9894587413323515,7.133831780850565,-0.3336109486071281,-0.05090408379760692,1.4376185316929138,1784332753.1295419,None,None,None, None, 1784332753.135542,1.0183159416580476,apf_waypoint,none,0.0,nan,nan,21.470405744183303,-8.601911221715959,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332753.272269,72.49113273620605,-200.0,122.14456404839373,0.2,0.9619957256568984,7.166320187958561,-0.28409115237587557,-0.2566029534477188,1.4188577125702393,1784332753.281211,None,None,None, None, 1784332753.234711,1.0216338900710762,apf_waypoint,none,0.0,nan,nan,21.318594406205357,-8.295050394564988,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332753.371054,72.58991765975952,-200.0,118.41634039257002,0.2,0.9477672000768278,7.200996405108132,-0.23511004588857354,-0.07012757656826112,1.4082078044891952,1784332753.354519,None,None,None, None, 1784332753.3695478,0.9583282097614123,apf_waypoint,none,0.0,nan,nan,21.062275935870005,-8.2787043459432,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
1784332753.4720623,72.69092607498169,-200.0,118.02445559136966,0.2,0.9193823339064653,7.236137879818247,-0.18659130472783492,-0.2229942738422465,1.3938979688688549,1784332753.4186902,None,None,None, None, 1784332753.4472811,1.010903220768404,apf_waypoint,none,0.0,nan,nan,20.927361068195353,-7.973240540945496,nan,nan,nan,WEBOTS_UNKNOWN,ekf_on_cluster_on,1,1
